img,cat,pair,type,jitter,run
OL_059b.jpg,2,59,4,2,6
SU_049.jpg,1,89,7,2,6
OU_073.jpg,2,91,6,2,6
SL_056b.jpg,1,56,2,2,6
OU_064.jpg,2,0,1,11,6
OU_045.jpg,2,90,7,11,6
SL_015b.jpg,1,15,5,6.5,6
OU_049.jpg,2,93,6,2,6
SL_051b.jpg,1,51,4,2,6
SU_033.jpg,1,93,6,2,6
OL_042a.jpg,2,42,5,2,6
OL_036b.jpg,2,36,5,2,6
OU_036.jpg,2,92,6,2,6
SL_007b.jpg,1,7,4,2,6
OU_014.jpg,2,0,1,2,6
SL_012a.jpg,1,12,4,2,6
OU_094.jpg,2,0,1,2,6
SU_007.jpg,1,92,6,2,6
SU_083.jpg,1,91,6,2,6
SL_027b.jpg,1,27,5,2,6
OL_010a.jpg,2,10,2,6.5,6
OL_047b.jpg,2,47,4,6.5,6
SU_086.jpg,1,0,1,2,6
OL_044a.jpg,2,44,4,2,6
SU_113.jpg,1,990,990,2,7
SU_073.jpg,1,0,1,2,7
OL_012a.jpg,2,12,2,2,7
SL_051a.jpg,1,51,5,2,7
OU_041.jpg,2,0,1,2,7
OU_059.jpg,2,0,1,6.5,7
OU_036.jpg,2,92,7,2,7
SU_033.jpg,1,93,7,6.5,7
SU_094.jpg,1,0,1,2,7
OU_008.jpg,2,0,1,2,7
OL_059a.jpg,2,59,5,6.5,7
SU_071.jpg,1,0,1,2,7
SU_080.jpg,1,0,1,2,7
OU_073.jpg,2,91,7,6.5,7
OL_009b.jpg,2,9,4,2,7
SU_008.jpg,1,96,6,6.5,7
OL_047a.jpg,2,47,5,2,7
OU_019.jpg,2,0,1,2,7
SU_029.jpg,1,94,6,2,7
SL_028a.jpg,1,28,4,2,7
SL_004b.jpg,1,4,2,2,7
OU_049.jpg,2,93,7,2,7
SL_012b.jpg,1,12,5,2,7
SU_083.jpg,1,91,7,2,7
OL_040a.jpg,2,40,2,2,7
SL_007a.jpg,1,7,5,6.5,7
OU_085.jpg,2,96,6,6.5,7
OL_044b.jpg,2,44,5,2,7
SU_095.jpg,1,95,6,2,7
OL_004b.jpg,2,4,4,2,7
SU_007.jpg,1,92,7,11,7
SL_059b.jpg,1,59,2,11,7
OL_041a.jpg,2,41,2,11,7
OU_002.jpg,2,95,6,2,7
SL_037b.jpg,1,37,2,6.5,7
SL_043a.jpg,1,43,4,2,7
OL_006b.jpg,2,6,2,2,7
SL_016a.jpg,1,16,4,2,7
OL_051a.jpg,2,51,4,2,7
OU_079.jpg,2,94,6,2,7
SL_041b.jpg,1,41,2,2,7
OU_110.jpg,2,990,990,2,8
SU_008.jpg,1,96,7,6.5,8
SU_029.jpg,1,94,7,6.5,8
OL_045b.jpg,2,45,2,2,8
OL_048a.jpg,2,48,2,2,8
SL_054a.jpg,1,54,2,2,8
OL_009a.jpg,2,9,5,11,8
OU_011.jpg,2,0,1,2,8
SU_095.jpg,1,95,7,2,8
OL_035a.jpg,2,35,4,2,8
OU_085.jpg,2,96,7,11,8
SL_028b.jpg,1,28,5,2,8
OL_004a.jpg,2,4,5,2,8
OL_046b.jpg,2,46,4,2,8
SU_050.jpg,1,0,1,6.5,8
SU_023.jpg,1,99,6,6.5,8
SU_039.jpg,1,0,1,2,8
OL_052b.jpg,2,52,2,2,8
SL_046a.jpg,1,46,2,2,8
OU_079.jpg,2,94,7,2,8
SU_084.jpg,1,98,6,6.5,8
SL_029a.jpg,1,29,2,2,8
OL_028a.jpg,2,28,4,2,8
OL_051b.jpg,2,51,5,2,8
SL_016b.jpg,1,16,5,11,8
SU_032.jpg,1,0,1,2,8
OU_024.jpg,2,0,1,2,8
SL_025b.jpg,1,25,2,6.5,8
OU_004.jpg,2,98,6,2,8
OU_002.jpg,2,95,7,2,8
SU_001.jpg,1,97,6,2,8
OU_095.jpg,2,97,6,6.5,8
SL_032b.jpg,1,32,4,2,8
OU_025.jpg,2,0,1,2,8
SL_033a.jpg,1,33,4,2,8
SL_049a.jpg,1,49,4,2,8
SL_043b.jpg,1,43,5,2,8
OL_013b.jpg,2,13,2,2,8
OU_076.jpg,2,0,1,2,8
SU_021.jpg,1,0,1,2,8
OU_080.jpg,2,99,6,6.5,8
SU_111.jpg,1,990,990,2,9
OU_104.jpg,2,999,999,6.5,9
